Country Code,Country Name,Region,Income Group,Indicator Code,Indicator Short,Indicator Type,Year,Value
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,148.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.CUST.XQ,Customs Score,Score,2007,1.6
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,103.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,2.81818
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.OVRL.RK,LPI Overall Rank,Rank,2007,140.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.OVRL.RK.LB,LP.LPI.OVRL.RK.LB,Rank,2007,
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.OVRL.RK.UB,LP.LPI.OVRL.RK.UB,Rank,2007,
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.OVRL.XQ,LPI Overall Score,Score,2007,2.06338034910516
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.OVRL.XQ.LB,LP.LPI.OVRL.XQ.LB,Rank,2007,
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.OVRL.XQ.UB,LP.LPI.OVRL.XQ.UB,Rank,2007,
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,33.3312988816389
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,139.0
DZA,Algeria,Middle East & North Africa,Upper middle income,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,1.83333
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,94.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,2.375
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,81.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,2.5
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.ITRN.RK,LP.LPI.ITRN.RK,Rank,2007,87.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.ITRN.XQ,Int. Shipments Score,Score,2007,2.5
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,71.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.CUST.XQ,Customs Score,Score,2007,2.4
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,100.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,2.83333
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.OVRL.RK,LPI Overall Rank,Rank,2007,86.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.OVRL.RK.LB,LP.LPI.OVRL.RK.LB,Rank,2007,
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.OVRL.RK.UB,LP.LPI.OVRL.RK.UB,Rank,2007,
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.OVRL.XQ,LPI Overall Score,Score,2007,2.47752197378388
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.OVRL.XQ.LB,LP.LPI.OVRL.XQ.LB,Rank,2007,
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.OVRL.XQ.UB,LP.LPI.OVRL.XQ.UB,Rank,2007,
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,46.3124286186235
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,88.0
AGO,Angola,Sub-Saharan Africa,Lower middle income,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,2.25
ATG,Antigua and Barbuda,,,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,
ATG,Antigua and Barbuda,,,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,
ATG,Antigua and Barbuda,,,LP.LPI.ITRN.RK,LP.LPI.ITRN.RK,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.ITRN.XQ,Int. Shipments Score,Score,2007,
ATG,Antigua and Barbuda,,,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.CUST.XQ,Customs Score,Score,2007,
ATG,Antigua and Barbuda,,,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,
ATG,Antigua and Barbuda,,,LP.LPI.OVRL.RK,LPI Overall Rank,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.OVRL.RK.LB,LP.LPI.OVRL.RK.LB,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.OVRL.RK.UB,LP.LPI.OVRL.RK.UB,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.OVRL.XQ,LPI Overall Score,Score,2007,
ATG,Antigua and Barbuda,,,LP.LPI.OVRL.XQ.LB,LP.LPI.OVRL.XQ.LB,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.OVRL.XQ.UB,LP.LPI.OVRL.XQ.UB,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,
ATG,Antigua and Barbuda,,,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,
ARG,Argentina,Latin America & Caribbean,Upper middle income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,46.0
