Indicator,Jordan Score,MENA Average,Gap
International Shipments,2.3129,2.6932099999999997,-0.3803099999999997
Infrastructure,2.8698,2.7256150000000003,0.14418499999999979
Timeliness,3.2364,3.0098700000000003,0.2265299999999999
Customs,2.7164,2.4717100000000003,0.24468999999999985
Logistics Quality,2.9339,2.6143899999999998,0.3195100000000002
Tracking & Tracing,3.2026,2.738635,0.46396499999999996
