Country Code,Country Name,Region,Income Group,Cluster,Cluster Label,LPI_Overall
KHM,Cambodia,East Asia & Pacific,Lower middle income,3,Low Performers,2.4
KOR,"Korea, Rep.",East Asia & Pacific,High income,2,High Performers,3.8
KWT,Kuwait,Middle East & North Africa,High income,0,Mid-High Performers,3.2
LAO,Lao PDR,East Asia & Pacific,Lower middle income,3,Low Performers,2.4
LBN,Lebanon,Middle East & North Africa,Upper middle income,1,Mid-Low Performers,2.716853
LBR,Liberia,Sub-Saharan Africa,Low income,3,Low Performers,2.4
LBY,Libya,Middle East & North Africa,Upper middle income,3,Low Performers,1.9
LKA,Sri Lanka,South Asia,Lower middle income,1,Mid-Low Performers,2.8
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,3,Low Performers,2.277266
LTU,Lithuania,Europe & Central Asia,High income,0,Mid-High Performers,3.4
LUX,Luxembourg,Europe & Central Asia,High income,2,High Performers,3.6
LVA,Latvia,Europe & Central Asia,High income,0,Mid-High Performers,3.5
MAR,Morocco,Middle East & North Africa,Lower middle income,1,Mid-Low Performers,2.539661
MDA,Moldova,Europe & Central Asia,Lower middle income,1,Mid-Low Performers,2.5
MDG,Madagascar,Sub-Saharan Africa,Low income,3,Low Performers,2.3
MDV,Maldives,South Asia,Upper middle income,1,Mid-Low Performers,2.665471
MEX,Mexico,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.9
MKD,"Macedonia, FYR",Europe & Central Asia,Upper middle income,0,Mid-High Performers,3.1
MLI,Mali,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.6
MLT,Malta,Middle East & North Africa,High income,0,Mid-High Performers,3.3
MMR,Myanmar,East Asia & Pacific,Lower middle income,3,Low Performers,2.297734
MNE,Montenegro,Europe & Central Asia,Upper middle income,1,Mid-Low Performers,2.8
MNG,Mongolia,East Asia & Pacific,Lower middle income,3,Low Performers,2.5
MOZ,Mozambique,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.684105
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,3,Low Performers,2.3
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,1,Mid-Low Performers,2.5
MWI,Malawi,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.585645
MYS,Malaysia,East Asia & Pacific,Upper middle income,2,High Performers,3.6
NAM,Namibia,Sub-Saharan Africa,Upper middle income,1,Mid-Low Performers,2.9
NER,Niger,Sub-Saharan Africa,Low income,3,Low Performers,2.06995
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,1,Mid-Low Performers,2.6
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,3,Low Performers,2.5
NLD,Netherlands,Europe & Central Asia,High income,2,High Performers,4.1
NOR,Norway,Europe & Central Asia,High income,2,High Performers,3.7
NPL,Nepal,South Asia,Low income,1,Mid-Low Performers,2.513022
NZL,New Zealand,East Asia & Pacific,High income,2,High Performers,3.6
OMN,Oman,Middle East & North Africa,High income,0,Mid-High Performers,3.3
PAK,Pakistan,South Asia,Lower middle income,3,Low Performers,2.419197
PAN,Panama,Latin America & Caribbean,Upper middle income,0,Mid-High Performers,3.1
PER,Peru,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,3.0
PHL,Philippines,East Asia & Pacific,Lower middle income,0,Mid-High Performers,3.3
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,1,Mid-Low Performers,2.7
POL,Poland,Europe & Central Asia,High income,2,High Performers,3.6
PRT,Portugal,Europe & Central Asia,High income,0,Mid-High Performers,3.4
PRY,Paraguay,Latin America & Caribbean,Upper middle income,1,Mid-Low Performers,2.7
QAT,Qatar,Middle East & North Africa,High income,0,Mid-High Performers,3.5
ROU,Romania,Europe & Central Asia,Upper middle income,0,Mid-High Performers,3.2
RUS,Russian Federation,Europe & Central Asia,Upper middle income,1,Mid-Low Performers,2.6
RWA,Rwanda,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.8
SAU,Saudi Arabia,Middle East & North Africa,High income,0,Mid-High Performers,3.4
SDN,Sudan,Sub-Saharan Africa,Lower middle income,3,Low Performers,2.4
SEN,Senegal,Sub-Saharan Africa,Low income,3,Low Performers,2.252378
SGP,Singapore,East Asia & Pacific,High income,2,High Performers,4.3
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,1,Mid-Low Performers,2.8
SLE,Sierra Leone,Sub-Saharan Africa,Low income,3,Low Performers,2.078033
SLV,El Salvador,Latin America & Caribbean,Lower middle income,1,Mid-Low Performers,2.7
SOM,Somalia,Sub-Saharan Africa,Low income,3,Low Performers,2.0
SRB,Serbia,Europe & Central Asia,Upper middle income,1,Mid-Low Performers,2.8
STP,São Tomé and Principe,Sub-Saharan Africa,Lower middle income,1,Mid-Low Performers,2.653207
SVK,Slovak Republic,Europe & Central Asia,High income,0,Mid-High Performers,3.3
SVN,Slovenia,Europe & Central Asia,High income,0,Mid-High Performers,3.3
SWE,Sweden,Europe & Central Asia,High income,2,High Performers,4.0
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income,3,Low Performers,2.3
TCD,Chad,Sub-Saharan Africa,Low income,3,Low Performers,2.417437
TGO,Togo,Sub-Saharan Africa,Low income,1,Mid-Low Performers,2.5
THA,Thailand,East Asia & Pacific,Upper middle income,0,Mid-High Performers,3.5
TJK,Tajikistan,Europe & Central Asia,Lower middle income,3,Low Performers,2.5
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,3,Low Performers,2.409804
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,3,Low Performers,1.71177373606909
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,3,Low Performers,2.5
TUN,Tunisia,Middle East & North Africa,Lower middle income,1,Mid-Low Performers,2.569547
TUR,Turkey,Europe & Central Asia,Upper middle income,0,Mid-High Performers,3.4
TWN,"Taiwan, China",East Asia & Pacific,High income,2,High Performers,3.9
